"","MET8","HB16","MET11","HB15","HB14","MET12","HB50","HB39","HB38","HB36","HB42","HB32","HB62","HB22","HB60","HB44","HB52","HB31","HB58","HB64","HB29","HB30","HB56","HB33","HB54","HB46","HB25","HB59","HB63","HB65","HB66","HB23","HB21","HB61","HB27","HB35","HB24","HB26","HB47","HB40","HB41","HB37","HB49","HB17","HB53","HB55","HB34","HB45","HB28","HB57","HB18","HB43","HB20","HB19","HB67","HB51","HB76","HB75","HB71","HB72","HB77","HC21","MET20","HB70","HC19","HB74","MET21","MET19","HB73","HB69","HB81","HC20","HB80","HC22","HB78","HB68","HB79","HB4","HC1","MET5","HB7","MET3","MET15","MET1","HB12","HC6","HC11","HC9","HC4","HB10","HB11","HB5","HC8","HC14","HB13","HC10","MET7","HC12","HC17","HC2","HC18","HC13","HB3","HC16","HB9","MET4","HC7","MET2","MET16","HB1","MET13","MET17","HC5","MET6","MET10","HB2","HB8","MET18","MET14","HC15","MET9"
"hsa-miR-223-3p",354,338,1474,237,340,626,143,207,186,392,146,119,359,213,353,518,835,929,779,528,430,1025,1629,283,330,174,373,334,1110,117,413,455,283,184,2161,415,1629,885,322,237,162,179,142,829,649,165,240,955,519,306,281,123,535,387,539,169,215,567,786,8249,293,833,2764,164,411,362,1964,4496,1105,255,710,889,6852,848,744,1250,198,179,219,2196,464,534,65,371,628,346,268,207,275,239,267,525,334,231,541,505,921,449,315,251,359,339,803,375,720,378,332,7699,881,322,1430,1560,864,783,1072,579,141,374,628,742,566
"hsa-miR-3124-5p",125,114,87,111,127,119,0,30,35,65,27,36,60,94,78,44,52,53,54,36,78,31,50,54,61,69,91,53,36,45,76,101,130,64,94,89,37,95,59,76,71,111,73,80,38,70,102,109,138,90,221,90,142,102,96,103,55,59,32,168,106,123,179,60,159,52,187,184,60,45,86,118,55,188,78,44,80,80,64,63,32,57,14,50,18,65,68,55,95,58,64,66,113,85,48,77,114,101,113,68,138,87,33,88,60,91,147,117,78,58,86,124,140,108,60,75,105,103,84,164,110
"hsa-miR-3196",116,210,86,154,126,147,0,17,22,79,15,41,120,97,81,68,24,48,50,38,59,61,74,110,69,90,90,81,29,98,100,87,185,83,70,112,49,99,91,156,157,77,124,105,49,116,100,111,131,107,193,174,151,148,102,133,120,61,73,158,116,140,132,82,157,59,99,172,79,66,113,108,87,188,117,87,202,157,130,51,16,41,12,121,21,84,101,81,112,106,138,105,101,79,35,106,154,136,99,111,141,114,38,123,81,140,146,53,94,93,111,88,131,76,50,97,79,126,91,133,90
"hsa-miR-3681-5p",57,42,41,68,42,33,0,12,0,25,11,32,17,39,21,19,29,22,22,21,38,25,27,38,28,46,34,22,19,17,14,25,50,31,18,50,27,40,34,40,35,36,28,53,62,31,22,51,30,53,79,45,68,41,35,43,19,23,34,84,31,44,61,19,53,17,59,71,17,27,22,20,23,46,28,23,19,32,24,0,10,35,0,10,14,20,35,17,34,32,0,40,36,28,0,29,49,29,37,32,50,38,31,33,13,38,49,68,64,19,26,29,48,42,28,41,74,28,40,74,34
"hsa-miR-4284",38,23,19,12,23,23,10,10,0,16,0,0,0,17,11,16,0,15,13,10,21,10,14,15,0,14,11,22,13,18,17,28,26,34,21,12,25,17,23,20,0,53,0,26,14,0,21,30,14,16,62,28,23,18,19,19,10,18,14,51,17,16,24,11,45,18,33,46,18,15,19,22,10,20,14,12,15,10,12,0,10,0,0,15,0,17,26,10,11,14,12,13,25,22,0,11,20,21,14,12,32,18,11,11,15,15,22,35,23,13,12,20,33,17,17,21,36,22,14,34,18
"hsa-miR-4433b-3p",95,99,41,107,84,77,0,12,14,52,0,20,31,87,44,24,11,13,37,23,35,0,34,53,45,31,36,46,15,49,48,52,78,61,37,62,36,34,51,64,81,42,73,83,25,67,62,99,91,81,205,108,110,116,72,85,53,31,33,113,69,98,110,41,112,33,72,144,53,35,76,79,31,122,48,25,94,90,49,39,22,34,0,51,0,55,64,57,77,70,66,76,66,51,33,46,127,74,69,63,106,52,23,76,52,91,129,106,89,59,79,58,91,43,37,76,77,81,62,141,70
"hsa-miR-4632-3p",37,19,25,18,27,21,0,12,18,22,0,0,0,19,16,13,0,17,15,0,25,10,12,16,21,11,510,0,21,12,12,17,24,18,20,10,14,17,22,13,12,0,23,11,11,12,25,27,29,18,41,18,28,25,29,30,13,13,12,34,0,29,25,0,28,19,50,32,18,14,22,36,15,26,76,12,20,14,20,10,0,0,0,0,13,0,16,10,14,11,0,12,20,14,0,13,13,25,30,18,22,17,14,19,0,21,15,23,20,17,17,11,27,22,11,16,61,16,35,23,17
"hsa-miR-4673",52,20,40,34,36,32,0,0,10,13,20,0,17,37,16,20,12,13,17,10,17,15,30,34,16,32,19,30,18,10,29,34,33,15,27,26,27,31,23,23,24,21,16,31,15,16,60,35,25,18,114,44,48,32,24,40,12,17,10,74,17,33,53,0,39,0,53,60,16,12,36,40,18,53,60,14,23,22,24,10,0,0,0,0,16,32,16,11,17,25,17,14,34,21,0,15,23,26,28,14,35,35,17,31,16,45,46,41,33,22,17,26,33,33,26,17,52,41,68,62,28
"hsa-miR-4688",23,15,19,15,0,18,0,10,0,0,0,11,0,0,0,0,0,13,0,12,30,13,12,24,10,10,19,0,12,0,16,13,37,17,11,12,11,13,17,0,17,0,12,0,0,10,161,12,11,14,21,13,12,18,12,20,0,15,0,13,11,31,17,0,13,11,33,24,21,10,0,23,0,15,10,10,0,0,0,0,0,0,16,0,55,17,10,14,0,0,0,15,14,10,0,22,0,12,11,12,22,12,0,13,0,0,0,10,17,13,0,18,14,20,20,11,15,0,19,22,18
"hsa-miR-510-5p",14,12,21,11,14,11,0,11,0,0,0,0,0,16,0,12,0,10,0,10,15,0,13,0,0,14,17,0,0,0,0,0,13,0,0,13,0,0,0,0,12,19,0,11,10,0,12,16,14,0,40,11,17,17,11,13,0,10,0,38,0,15,30,0,11,11,29,45,0,0,10,13,0,18,11,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,11,0,16,0,12,10,0,13,0,14,13,0,22,13,19,19,12,0,0,17,18,17,17
"hsa-miR-5692a",120,29,96,58,52,76,12,33,34,47,19,18,36,71,45,40,50,60,31,20,57,33,67,26,37,35,56,58,50,32,30,67,48,52,41,54,43,91,45,37,67,42,43,42,43,37,96,63,53,62,187,72,78,62,87,71,18,43,31,143,55,54,111,35,99,43,160,147,54,48,36,77,44,62,70,26,49,34,28,65,28,40,39,33,22,35,39,40,40,35,61,36,59,32,30,39,66,58,67,35,61,48,46,48,41,47,64,106,74,35,51,95,119,104,96,42,73,96,162,122,83
"hsa-miR-6808-5p",26,11,24,27,20,22,0,12,0,16,27,0,17,36,17,16,11,0,15,0,22,10,13,17,15,20,14,12,10,15,13,26,41,12,21,10,16,26,18,11,13,14,18,24,10,10,63,23,27,28,47,16,34,34,27,30,11,20,0,50,12,33,34,18,52,21,36,44,16,0,17,28,18,33,15,14,18,16,19,21,0,0,0,0,84,19,10,0,18,0,0,0,27,21,12,22,14,21,22,13,28,23,15,17,0,23,19,25,21,15,13,14,24,23,44,16,20,19,31,42,21
"hsa-miR-6820-5p",23,0,21,0,0,13,0,15,0,54,0,0,0,10,13,0,0,13,10,0,0,13,0,0,0,21,13,0,0,0,0,19,0,0,15,0,16,16,0,13,0,0,11,17,0,10,14,0,17,0,34,0,20,22,0,11,0,0,0,19,0,0,20,10,17,10,43,25,0,12,0,20,15,13,0,0,0,0,0,14,0,17,0,0,17,28,0,0,0,0,0,0,10,0,0,0,14,0,0,0,13,0,10,14,0,15,14,17,10,11,15,13,123,17,14,0,30,10,17,12,18
